Park_Name,Council_District,LOCATION,ZipCode,Ballfield,Basketball,Benches,Concession,Fountains,Grills,Off_Street_Parking,Pavilions,Picnic_Tables,Playground,Pools,Restrooms,Tennis_Courts,Trash,Walking_Trails,Acres_park
Gooch Park,7,1974 Hunter,38108.0,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,10.28
O'Brien Park,4,Presscott @ Steve,38111.0,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,9.0
Highland Park,5,Highland @ Fairmont,38122.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2.38
Pickett Park,7,2555 St. Elmo,38127.0,no,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,11.58
American Way Park,4,2800 Goodlett,38118.0,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,26.0
Sea Isle Park,5,5220 Sea Isle,38117.0,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,12.4
Bartlett Meadows,1,5195 Twin Wood,38134.0,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,10.0
Willow Park,5,4971 Willow Rd.,38117.0,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,58.7
Howze Park,5,Tillman @ Mimosa,38112.0,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,4.87
Morris Park,7,Poplar @ Orleans,38105.0,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,6.0
Gragg Park,7,3732 Jackson Ave.,38108.0,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,6.65
Otis Redding Park,6,12th Road @ Honduras,38109.0,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,yes,18.0
Galloway,5,3815 Walnut Grove,38111.0,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,104.0
Jackson Park,7,Pikes Peak Ave.,38108.0,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,8.3
Grandview Park,7,University Street north of Whitney,38127.0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,13.5
Fairgrounds,4,333 S. Hollywood,38104.0,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,145.62
Martin Luther King Riverside Park,6,Mallory at I-55,38109.0,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,297.32
Dlugach Park,5,Jackson Ave. @ University,38108.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1.0
Will Carruthers,6,3880 Neely Road,38109.0,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,33.8
Boxtown Park,6,3448 Boxtown Rd.,38109.0,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,38.0
Lazarov Park,7,Oberle @ Alta Vista,38127.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,3.07
Falcon Park,6,Falcon @ Raines,38109.0,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,12.8
Raines Road,3,Raines @ Hickory Hill,38141.0,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,20.0
Jesse Turner Park,4,1310 S. Bellevue,38106.0,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,no,yes,18.29
Fulmer Park,7,Old Allen Road,38128.0,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,19.51
Easthaven Park,3,Melodywood Drive,38118.0,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,3.0
Firestone Park,7,Millington Road @ Robertson,38127.0,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,317.0
Godwin Park,4,4410 Mallory Avenue,38117.0,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,10.0
Wilson Park,3,Cottonwood @ Clarke,38115.0,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,12.0
Lanier Park,6,781 Crescent,38116.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,10.17
Treadwell,5,N. Highland @ Gurnsey,38122.0,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,10.0
Carver Heights Park,1,3371 Margaretta Rd.,38128.0,no,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,yes,1.0
Dalstrom Park,6,Shelby & Weaver,38109.0,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,75.0
Army Park,6,Second @                         G.E. Patterson,38103.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1.0
Ford Park,6,"Ford Rd, @ Levi",38109.0,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,6.1
Martyr Park,6,Channel 3 Drive,38126.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,8.9
Pershing Park,7,Corning @ Steele,38127.0,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,16.0
Brentwood Park,4,Spottswood @ Josephine,38111.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,2.0
Kennedy Park,1,4577 Raleigh  LaGrange Road,38128.0,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,260.57
Zodiac,3,5226 Zodiac Rd,38118.0,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,23.58
Tower Park,7,866 Overton Crossing,38127.0,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,0.38
Wagner,4,Jonah @ Hugenot,38114.0,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,3.07
Fletcher Creek Park,2,8668 Dexter Rd,38016.0,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,22.24
Trezevant Park,1,Justine @ Orman,38127.0,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,4.0
