Incident Date,State,City Or County,# Killed,# Injured,Code
2019-12-10,New Jersey,Jersey City,6,3,NJ
2019-12-12,Missouri,Saint Louis (Moline Acres),1,3,MO
2019-12-14,California,Ivanhoe,0,4,CA
2019-12-15,Georgia,Columbus,1,4,GA
2019-12-17,Montana,Great Falls,4,1,MT
2019-12-18,Texas,San Antonio,0,4,TX
2019-12-20,Alabama,Tuskegee,2,2,AL
2019-12-20,Mississippi,Waynesboro,1,6,MS
2019-12-21,Louisiana,Edgard,0,4,LA
2019-12-22,Maryland,Baltimore,0,7,MD
2019-12-22,Illinois,Chicago,0,13,IL
2019-12-22,Minnesota,Minneapolis (Spring Lake Park),1,7,MN
2019-12-24,Louisiana,New Orleans,0,4,LA
2019-12-24,North Carolina,High Point,0,6,NC
2019-12-24,Illinois,Joliet,0,5,IL
2019-12-25,California,Oakland,0,4,CA
2019-12-25,Virginia,Richmond,1,3,VA
2019-12-25,Iowa,Coralville,1,3,IA
2019-12-26,Florida,Saint Petersburg,0,5,FL
2019-12-27,Texas,Houston,2,7,TX
2019-12-27,Georgia,Kennesaw,0,4,GA
2019-12-27,California,Modesto,1,3,CA
2019-12-29,California,Ceres,0,5,CA
2019-12-29,Illinois,Danville,0,5,IL
2019-12-29,New York,Buffalo,1,3,NY
2020-01-01,Missouri,Saint Louis,3,2,MO
2020-01-01,West Virginia,Huntington,0,7,WV
2020-01-01,Ohio,Cleveland,0,4,OH
2020-01-02,New York,Brooklyn,0,4,NY
2020-01-04,Florida,Ocala,1,3,FL
2020-01-05,Georgia,Atlanta,0,4,GA
2020-01-08,Mississippi,Bay Saint Louis,2,2,MS
2020-01-11,Colorado,Aurora,0,5,CO
2020-01-16,Illinois,Chicago,0,5,IL
2020-01-17,Utah,Grantsville,4,1,UT
2020-01-18,Texas,South Houston,2,2,TX
2020-01-19,Tennessee,Memphis,1,4,TN
2020-01-19,Missouri,Kansas City,2,15,MO
2020-01-19,Texas,San Antonio,2,5,TX
2020-01-22,Washington,Seattle,1,7,WA
2020-01-24,North Carolina,Vanceboro,5,0,NC
2020-01-26,South Carolina,Hartsville,3,3,SC
2020-01-26,North Carolina,Salisbury,0,6,NC
2020-01-26,Missouri,Cape Girardeau,0,5,MO
2020-01-26,New York,Newburgh,3,1,NY
2020-01-27,Connecticut,Bridgeport,0,4,CT
2020-01-30,California,Merced,0,4,CA
2020-01-31,Florida,Boynton Beach,1,3,FL
2020-01-31,Louisiana,Shreveport,0,4,LA
2020-01-31,California,Delano,1,4,CA
2020-02-01,Mississippi,Philadelphia,0,4,MS
2020-02-03,California,Lebec,1,5,CA
2020-02-03,Maine,Machias,3,1,ME
2020-02-05,Indiana,Indianapolis,4,0,IN
2020-02-08,Texas,Houston,1,3,TX
2020-02-10,Delaware,Dover,1,4,DE
2020-02-14,Illinois,Chicago,0,6,IL
2020-02-15,Tennessee,Memphis,0,7,TN
2020-02-15,Louisiana,New Orleans,0,4,LA
2020-02-16,Connecticut,Hartford,1,5,CT
2020-02-16,Florida,Pensacola,1,4,FL
2020-02-17,Mississippi,Port Gibson,2,2,MS
2020-02-20,North Carolina,Greensboro,0,4,NC
2020-02-20,Idaho,Caldwell,2,3,ID
2020-02-23,North Carolina,Clarkton,3,1,NC
2020-02-23,Texas,Houston,0,7,TX
2020-02-25,Illinois,Chicago,1,4,IL
2020-02-26,Wisconsin,Milwaukee,6,0,WI
2020-02-29,Colorado,Brighton,0,5,CO
2020-02-29,Missouri,Kansas City,1,4,MO
2020-03-04,California,Tulare,1,5,CA
2020-03-06,District of Columbia,Washington,0,6,DC
2020-03-07,Illinois,Chicago,0,7,IL
2020-03-07,New Mexico,Albuquerque,0,4,NM
2020-03-07,Ohio,Cleveland,1,18,OH
2020-03-08,California,Ceres,1,3,CA
2020-03-08,Illinois,South Holland,0,4,IL
2020-03-08,Maryland,Rosedale,1,5,MD
2020-03-10,Pennsylvania,Chester,2,2,PA
2020-03-13,Illinois,Rockford,0,4,IL
2020-03-13,Louisiana,New Orleans (Algiers),0,5,LA
2020-03-14,New Mexico,Albuquerque,1,3,NM
2020-03-14,Michigan,Saginaw,2,2,MI
2020-03-15,Missouri,Springfield,5,2,MO
2020-03-15,North Carolina,Moncure,7,0,NC
2020-03-17,Maryland,Baltimore,0,7,MD
2020-03-18,Florida,Jacksonville,1,4,FL
2020-03-20,Missouri,Saint Louis,0,4,MO
2020-03-20,Virginia,Norfolk,0,4,VA
2020-03-22,South Carolina,Hanahan,0,4,SC
2020-03-23,Texas,San Antonio,0,4,TX
2020-03-28,Maryland,Baltimore,1,3,MD
2020-03-29,Georgia,Atlanta,0,4,GA
2020-03-30,Pennsylvania,Philadelphia,0,5,PA
2020-03-31,Georgia,Macon,3,1,GA
2020-04-03,Kentucky,Louisville,0,4,KY
2020-04-04,Florida,Hialeah,1,4,FL
2020-04-04,Texas,Lubbock,2,2,TX
2020-04-04,Texas,Vidor,0,4,TX
2020-04-05,South Carolina,Lancaster,1,4,SC
2020-04-05,California,Los Angeles,1,3,CA
2020-04-05,New York,Brooklyn,0,4,NY
2020-04-07,Illinois,Chicago,1,3,IL
2020-04-08,Alaska,Anchorage,0,4,AK
2020-04-08,South Carolina,Greenwood,1,3,SC
2020-04-08,Michigan,Detroit,0,4,MI
2020-04-10,Michigan,Muskegon,0,4,MI
2020-04-11,California,Bakersfield,0,6,CA
2020-04-15,Mississippi,Jackson,1,3,MS
2020-04-16,Pennsylvania,Philadelphia,0,4,PA
2020-04-17,Massachusetts,Springfield,1,4,MA
2020-04-17,North Carolina,Greensboro,1,3,NC
2020-04-18,Maryland,Hyattsville,2,2,MD
2020-04-24,Indiana,Fort Wayne,0,4,IN
2020-04-24,Texas,Houston,3,1,TX
2020-04-25,Tennessee,Memphis,0,7,TN
2020-04-25,Florida,Orlando,1,4,FL
2020-04-26,New York,Troy,0,4,NY
2020-04-26,North Carolina,Salisbury,1,4,NC
2020-04-27,Wisconsin,Milwaukee,5,0,WI
2020-04-29,Indiana,Indianapolis,0,4,IN
2020-05-02,Pennsylvania,Philadelphia,0,4,PA
2020-05-03,Illinois,Chicago,0,5,IL
2020-05-03,Florida,Jacksonville,1,3,FL
2020-05-03,Ohio,Columbus,0,4,OH
2020-05-06,Tennessee,Memphis,2,2,TN
2020-05-06,Georgia,Albany,1,3,GA
2020-05-06,Texas,Houston,3,1,TX
2020-05-07,Maryland,Baltimore,0,4,MD
2020-05-09,Missouri,Saint Louis,0,4,MO
2020-05-10,Louisiana,Baton Rouge,0,5,LA
2020-05-10,Texas,Katy,0,6,TX
2020-05-10,Texas,Fort Worth,0,5,TX
2020-05-11,Alabama,Montgomery,0,4,AL
2020-05-13,Tennessee,Memphis,0,4,TN
2020-05-13,Kentucky,Garrison,1,4,KY
2020-05-13,Illinois,Rockford,1,4,IL
2020-05-14,New Mexico,Albuquerque,0,5,NM
2020-05-15,Pennsylvania,Philadelphia,0,4,PA
2020-05-15,Florida,Gainesville,0,5,FL
2020-05-16,Louisiana,Bogalusa,0,13,LA
2020-05-17,Maryland,District Heights,1,3,MD
2020-05-17,South Carolina,Saint Matthews,4,1,SC
2020-05-17,South Carolina,Charleston,0,4,SC
2020-05-18,California,Bakersfield,0,5,CA
2020-05-19,Illinois,Decatur,0,5,IL
2020-05-20,Texas,Houston,2,3,TX
2020-05-22,Ohio,Cleveland,1,3,OH
2020-05-23,Texas,Houston,0,4,TX
2020-05-23,Illinois,Rock Island,1,4,IL
2020-05-23,South Carolina,Jonesville,2,5,SC
2020-05-23,Florida,Fort Lauderdale (Lauderhill),0,5,FL
2020-05-23,Michigan,Flint,1,3,MI
